0.335,0.001,64,0.001,0.001,64,5
0.386,0.001,64,0.001,0.001,64,10
0.363,0.001,64,0.001,0.001,64,15
0.268,0.001,64,0.001,0.001,128,5
0.362,0.001,64,0.001,0.001,128,10
0.394,0.001,64,0.001,0.001,128,15
0.243,0.001,64,0.001,0.001,256,5
0.31,0.001,64,0.001,0.001,256,10
0.339,0.001,64,0.001,0.001,256,15
0.199,0.001,64,0.001,0.001,512,5
0.246,0.001,64,0.001,0.001,512,10
0.261,0.001,64,0.001,0.001,512,15
0.104,0.001,64,0.001,0.005,64,5
0.115,0.001,64,0.001,0.005,64,10
0.134,0.001,64,0.001,0.005,64,15
0.125,0.001,64,0.001,0.005,128,5
0.145,0.001,64,0.001,0.005,128,10
0.119,0.001,64,0.001,0.005,128,15
0.119,0.001,64,0.001,0.005,256,5
0.125,0.001,64,0.001,0.005,256,10
0.171,0.001,64,0.001,0.005,256,15
0.113,0.001,64,0.001,0.005,512,5
0.119,0.001,64,0.001,0.005,512,10
0.118,0.001,64,0.001,0.005,512,15
0.181,0.001,64,0.001,0.0025,64,5
0.182,0.001,64,0.001,0.0025,64,10
0.189,0.001,64,0.001,0.0025,64,15
0.203,0.001,64,0.001,0.0025,128,5
0.182,0.001,64,0.001,0.0025,128,10
0.224,0.001,64,0.001,0.0025,128,15
0.134,0.001,64,0.001,0.0025,256,5
0.166,0.001,64,0.001,0.0025,256,10
0.179,0.001,64,0.001,0.0025,256,15
0.119,0.001,64,0.001,0.0025,512,5
0.138,0.001,64,0.001,0.0025,512,10
0.157,0.001,64,0.001,0.0025,512,15
0.119,0.001,64,0.001,0.01,64,5
0.138,0.001,64,0.001,0.01,64,10
0.118,0.001,64,0.001,0.01,64,15
0.107,0.001,64,0.001,0.01,128,5
0.179,0.001,64,0.001,0.01,128,10
0.184,0.001,64,0.001,0.01,128,15
0.117,0.001,64,0.001,0.01,256,5
0.122,0.001,64,0.001,0.01,256,10
0.177,0.001,64,0.001,0.01,256,15
0.143,0.001,64,0.001,0.01,512,5
0.133,0.001,64,0.001,0.01,512,10
0.14,0.001,64,0.001,0.01,512,15
0.15,0.001,64,0.001,0.025,64,5
0.128,0.001,64,0.001,0.025,64,10
0.188,0.001,64,0.001,0.025,64,15
0.175,0.001,64,0.001,0.025,128,5
0.169,0.001,64,0.001,0.025,128,10
0.187,0.001,64,0.001,0.025,128,15
0.132,0.001,64,0.001,0.025,256,5
0.163,0.001,64,0.001,0.025,256,10
0.125,0.001,64,0.001,0.025,256,15
0.135,0.001,64,0.001,0.025,512,5
0.113,0.001,64,0.001,0.025,512,10
0.132,0.001,64,0.001,0.025,512,15
0.336,0.001,64,0.005,0.001,64,5
0.356,0.001,64,0.005,0.001,64,10
0.37,0.001,64,0.005,0.001,64,15
0.303,0.001,64,0.005,0.001,128,5
0.318,0.001,64,0.005,0.001,128,10
